"victim_wallet","malicious_dapp","token_address","token_symbol","decimals","human_readable_amount","raw_amount","block_time","tx_hash"
"0x02280933de81bf56b805c3ef9ab29e3ec0e51c2e","0x000000000022d473030f116ddee9f6b43ac78ba3","0x5fa487bca6158c64046b2813623e20755091da0b","thBILL","6","Unlimited","115792089237316195423570985008687907853269984665640564039457584007913129639935","2025-10-14 11:03","0x1dbc976150af1eb2d60d334cfa21acd5e08abcdd3256b5329741689277357103"
"0x655bb677eb340298232b309b90349d7d6331d97c","0xb8506d42ad5fd6a672b42aec94b82846876d458e","0x5fa487bca6158c64046b2813623e20755091da0b","thBILL","6","Unlimited","115792089237316195423570985008687907853269984665640564039457584007913129639935","2025-10-25 19:03","0x80eb3c2139cac5a5debb8ebc4faf55f9598ff088967b004a2aa3b10daa02005d"
"0x02359fa9434b74d08984d4c5368bf5a154a76616","0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a","0x5fa487bca6158c64046b2813623e20755091da0b","thBILL","6","Unlimited","115792089237316195423570985008687907853269984665640564039457584007913129639935","2025-10-29 19:07","0xa8bcfa7b4e534f9fcc678f513511dcb36c485e37392c1f66d73ac78856012423"
"0xed0c6f7e0f508ed666f107f42c78565a5eb953cd","0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a","0x5fa487bca6158c64046b2813623e20755091da0b","thBILL","6","Unlimited","115792089237316195423570985008687907853269984665640564039457584007913129639935","2025-11-06 13:00","0x8f336cb3a17f82c49fe701e3bdd1ae95625f171fe2ead041cffbc82eed7099af"
"0xa9a47cee5e9d864ea4bcd7fcee1bab242496ad46","0xc36442b4a4522e871399cd717abdd847ab11fe88","0x5fa487bca6158c64046b2813623e20755091da0b","thBILL","6","Unlimited","115792089237316195423570985008687907853269984665640564039457584007913129639935","2025-10-23 08:10","0xd0ba9ff6f4f061aa771da0f773096fdcd78b78b00614974317e31cd20a8ba596"
"0x42a896c85a6db71b328c9253c160fd999d6da4de","0x000000000022d473030f116ddee9f6b43ac78ba3","0x7d3b4f8d5dd14a0c263c4bee7be434c15e188d3e","Moe","18","Unlimited","115792089237316195423570985008687907853269984665640564039457584007913129639935","2025-10-21 20:51","0x50ed7603618f452e4b9bca3294372281cd26e6f684f2acd04d8a11ad7fd3f736"
"0x3bf26d161691316b37144ee04346e6f199f926cf","0xc36442b4a4522e871399cd717abdd847ab11fe88","0x5fa487bca6158c64046b2813623e20755091da0b","thBILL","6","Unlimited","115792089237316195423570985008687907853269984665640564039457584007913129639935","2025-10-22 09:22","0x13b943760675cc0d5b9e3ed71345db2d00ed41e3685d107101dea32c98978885"
"0x9f13a6ae7d3f5f7ee5cc232d398f543acf078f26","0x6131b5fae19ea4f9d964eac0408e4408b66337b5","0x318c210626d49f20c4899dbe33d33ca20cfb93dd","CDV","18","Unlimited","115792089237316195423570985008687907853269984665640564039457584007913129639935","2025-10-20 20:43","0x90e8f2bfb3a398ef3ca4e24f8aeb27b97d1eda6dbb5f9d5b2be6c1c294ed780b"
"0xa4b23bb3e50124fe84c6f5f7771766695adef737","0xc465cc50b7d5a29b9308968f870a4b242a8e1873","0x9a67f6e0942c6399b713dbb19817347bc9959cfa","doggo","9","Unlimited","115792089237316195423570985008687907853269984665640564039457584007913129639935","2025-10-18 01:13","0x9bc7400641ae3dce141648336c9f031aa68a3216a0e622a84eadac9138ba51bb"
"0x663dc15d3c1ac63ff12e45ab68fea3f0a883c251","0x6a000f20005980200259b80c5102003040001068","0x5fa487bca6158c64046b2813623e20755091da0b","thBILL","6","Unlimited","115792089237316195423570985008687907853269984665640564039457584007913129639935","2025-10-15 17:22","0xb7e2d4b9496e43a8a4d3b82d078dfffcf9f7aa44817b2b6d8fcf722a8600c5fd"victim_wallet,token_address,raw_amount,decimals,token_symbol,malicious_dapp,block_time,tx_hash
0xTestVictim...,0xTestToken...,5000000000000,6,USDC,0xTestDapp,2025-11-10 12:00:00,0xTestHash
